2022-07-29 15:55:54.572986: I tensorflow/core/util/util.cc:169] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2022-07-29 15:55:55.992035: I tensorflow/core/platform/cpu_feature_guard.cc:193] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F AVX512_VNNI FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2022-07-29 15:55:56.360203: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1532] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 22126 MB memory:  -> device: 0, name: NVIDIA GeForce RTX 3090, pci bus id: 0000:65:00.0, compute capability: 8.6
2022-07-29 15:55:57.307681: W tensorflow/core/platform/cloud/google_auth_provider.cc:184] All attempts to get a Google authentication bearer token failed, returning an empty token. Retrieving token from files failed with "NOT_FOUND: Could not locate the credentials file.". Retrieving token from GCE failed with "FAILED_PRECONDITION: Error executing an HTTP request: libcurl code 6 meaning 'Couldn't resolve host name', error details: Could not resolve host: metadata".
2022-07-29 15:56:36.772218: I tensorflow/stream_executor/cuda/cuda_dnn.cc:384] Loaded cuDNN version 8400
2022-07-29 15:56:37.763996: I tensorflow/stream_executor/cuda/cuda_blas.cc:1786] TensorFloat-32 will be used for the matrix multiplication. This will only be logged once.
WARNING:tensorflow:Epoch: 0, Train_Loss: 28841.570312, train_mIoU: 1.223, proceeding to videos: 10396 / 300000
W0729 16:05:05.900571 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28841.570312, train_mIoU: 1.223, proceeding to videos: 10396 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28621.974609, train_mIoU: 1.201, proceeding to videos: 10796 / 300000
W0729 16:05:23.361367 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28621.974609, train_mIoU: 1.201, proceeding to videos: 10796 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28652.886719, train_mIoU: 1.200, proceeding to videos: 11196 / 300000
W0729 16:05:40.683188 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28652.886719, train_mIoU: 1.200, proceeding to videos: 11196 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28809.240234, train_mIoU: 1.151, proceeding to videos: 11596 / 300000
W0729 16:06:00.951208 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28809.240234, train_mIoU: 1.151, proceeding to videos: 11596 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28884.744141, train_mIoU: 1.192, proceeding to videos: 11996 / 300000
W0729 16:06:18.463592 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28884.744141, train_mIoU: 1.192, proceeding to videos: 11996 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28689.664062, train_mIoU: 1.206, proceeding to videos: 12396 / 300000
W0729 16:06:47.540312 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28689.664062, train_mIoU: 1.206, proceeding to videos: 12396 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28853.425781, train_mIoU: 1.162, proceeding to videos: 12796 / 300000
W0729 16:07:04.936285 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28853.425781, train_mIoU: 1.162, proceeding to videos: 12796 / 300000
WARNING:tensorflow:Epoch: 0, Train_Loss: 28724.363281, train_mIoU: 1.165, proceeding to videos: 13196 / 300000
W0729 16:07:22.598805 139877497009280 train_vae.py:266] Epoch: 0, Train_Loss: 28724.363281, train_mIoU: 1.165, proceeding to videos: 13196 / 300000
